nn_parameters_nonrobustiToffoli,nn_parameters_OuterX,nn_parameters_middleX,nn_parameters_robustiToffoli,nn_parameters_robustiCZ
0.1414157947,-0.1361031021,-0.3527169715,-0.001586963782,-0.23708142
-0.07092927431,-0.291729908,-0.02522081774,-0.124265518,-0.24483514
-0.02564586732,0.2180105756,0.5191387079,0.04805398372,-0.04790956
0.005749022429,-0.05284545953,0.1730672247,-0.4682020006,0.13119623
0.01575777993,-0.03276050298,0.0906828691,0.06382049778,0.45675662
0.003851888925,0.2560053514,0.003690374372,0.4011453941,-0.07886865
0.06484109343,0.1490169166,0.2039253145,-0.251085333,-0.13007312
-0.04684599998,0.09616251323,-0.1619972519,-0.617076028,0.23643658
-0.2122928117,0.06186888176,0.1255280132,-0.4164832148,-0.020348508
0.2130633947,0.07685665526,0.064142103,0.3044886837,0.018963493
-0.03170175444,-0.2068784332,0.1861843398,-0.364697073,-2.3631086
0.07165815781,-0.2736946929,-0.09643649463,0.2461996007,0.30886006
-0.001711490449,-0.1204285459,0.1063709389,0.8731120988,0.18293272
0.2929837031,0.1521803734,-0.1496179286,-0.01119300858,1.0512193
0.02688774562,-0.1844419764,-0.3014283051,0.1904058619,0.02296764
0.2594792627,0.05654244628,0.03123288954,-0.3384381766,-0.080123864
-0.1051104673,0.1960778404,-0.1652391479,-0.4480523812,-0.40809667
-0.1486606045,-0.1382207794,-0.02400018834,-0.2823110799,-0.028007267
-0.2335646554,-0.2257359118,-0.209726463,0.2733681432,-0.089166954
-0.2239872261,-0.2364969692,0.0475636617,-0.2888079131,0.27091342
0.02210740803,0.08907986052,-0.07467852446,0.3350096842,0.0545822
0.2159897684,0.1840046701,-0.2198173091,0.5949961485,-0.3742729
-0.1553872728,0.2398867824,0.2641532877,0.112604503,0.10640362
-0.05300785768,0.1228709219,0.0166172251,-0.1367778663,-0.17670152
0.1106670262,-0.2822670332,0.07485898746,-0.01011215738,0.3238342
0.1508202915,-0.2195942023,0.2671921156,0.3290368063,0.20203568
-0.2367746678,-0.284793097,-0.007450135838,-0.06051458018,-0.11991854
-0.07949161737,0.2011768937,-0.09793600528,-0.125177093,0.23186393
0.3881295166,-0.1384534992,-0.3395969846,-0.2056827983,0.1292271
0.2150679257,-0.04317763195,0.03431652363,0.3511133167,-0.07734273
0.4312760762,-0.2746788682,0.1292599856,0.427592092,-0.1014054
-0.324998669,-0.1274540274,0.2212387135,0.1318838142,-0.23124065
0.1947922713,0.1286297679,0.01104066036,0.123727225,0.19847195
0.1061492814,0.08769878182,-0.2754871927,-0.4390384603,-0.15115404
0.4693122341,0.2509513008,-0.4996428525,-0.09839246699,-0.22631547
0.3230347258,-0.225488224,-0.05689041676,0.1191919836,-0.050355814
-0.06537202606,0.2624028635,-0.07780747504,0.1405141404,-0.031069461
0.4528560609,0.0301303273,-0.06988895148,-0.4542662079,0.15554518
0.4811719958,-0.1909429619,-0.1330768859,-0.2106524464,0.15432975
0.05544378199,-0.02684708578,0.194796041,-0.08708487467,0.18715596
-0.2867907915,0.2754261647,0.2950500444,0.2225138731,-0.3025193
-0.3040499525,0.02101225238,0.1015414064,-0.2111225567,0.2586162
-0.08659700724,0.16080274,0.1370243954,0.1779172742,-4.293851
-0.1516830319,-0.137007562,-0.02156871271,-0.1106504363,-0.23373623
-0.1809958524,0.07660913036,0.1672362841,-0.2326131384,0.37258273
0.3089342807,-0.0524235814,0.005404605287,-0.1633033235,0.011817111
-0.4055557401,0.2010983473,0.09070387491,-0.3054827328,-0.13160725
-0.3672764118,0.2535818255,-0.117821544,0.2520061253,-0.035636827
0.27672009,-0.1282527105,-0.2329583003,0.03740235537,-0.28748614
0.2061708041,0.008773728355,-0.2416083373,0.1191998835,-0.26384348
0.3760546316,-0.06095908392,-0.1437501278,-0.4402177687,-0.20928882
0.3198991594,-0.2880774636,-0.2686801639,0.02570493368,-0.14489482
0.0845514931,-0.01748691677,0.3527707954,-0.2154942454,-0.42821705
0.01072005245,-0.02002825959,-0.01222585218,-0.3235294937,-0.44285095
0.07057624389,-0.2347391827,-0.09720986745,0.08580727778,-0.008824838
0.1044327226,-0.08553093655,-0.355324189,-0.01636588221,0.18603739
0.04944266494,0.07425202129,0.3350534222,-0.04438686596,0.075320095
-0.5561718026,0.1396934567,0.2224635238,-0.3182721575,0.041035265
0.2531235093,0.3328177595,0.2867430789,-0.2644680474,0.40855017
0.04967981986,-0.1271386482,-0.266125846,0.05442023634,0.082337655
-0.4075372112,-0.2629897203,-0.1905928949,0.08848585966,-0.110162266
-0.3953099062,-0.3410443388,0.01565165132,-0.1048472392,-0.2528867
-0.8328929561,0.1945616279,0.02094553873,-0.2735204965,0.477202
0.1205897854,-0.2833073388,0.07620803063,0.05733732284,-0.30119753
-0.7785475927,-0.2612175125,-0.2752401363,-0.1273820325,-0.2714413
-0.5488572375,0.1405514874,-0.2551700943,0.3599103368,0.30068773
-0.5378000275,-0.01750235494,-0.2380612145,-0.1405549671,0.13866928
-0.06078161635,0.2262415682,-0.1173058512,-0.09187553964,0.029764002
-0.2306740285,0.1829377428,-0.1291216288,-0.1050198902,-0.29361305
-0.8828988539,0.0128605528,-0.1341249623,-0.02216691545,-0.23380944
-0.7497651129,-0.1745326676,0.1601212593,0.0264370956,-0.09112887
-0.8686469946,0.3125328822,0.1058037825,-0.1356560185,-0.17829725
0.02719240759,0.2568807181,0.2935998325,-0.006062810998,-0.088433586
0.1596697356,-0.04474575294,-0.08696621999,0.09714436362,0.050829012
-0.3482633164,-0.0559272392,0.1285989518,0.1714390672,-2.3043177
-0.2892608104,-0.2742088329,-0.03289045567,0.3066716288,-0.019115968
-0.4370261926,-0.003288147106,0.2521100089,-0.1348261336,0.0042927978
-0.7416251693,-0.1882177381,0.08624124856,0.5637666437,-0.4533564
0.5373999525,0.1222683885,-0.16069884,-0.1550166649,-0.3971245
0.05990811422,-0.05106329484,0.03606669713,-0.4098171469,-0.022445597
0.08213095431,0.2258645602,-0.1646742986,-0.003397901851,0.037071627
-0.6947980234,0.01331966863,-0.05999940701,0.6533495413,0.16612796
-0.650691492,0.3449948451,-0.3054370618,0.34959624,-0.2933314
-0.6090232652,-0.1061166739,0.07103465118,0.7312251158,-0.3734496
0.2300055339,0.2563648143,-0.2657338279,-0.2925075064,-0.41176954
-0.04206395288,0.00531104591,-0.1341102773,0.09781803528,0.007793393
-0.01742518884,0.1174773799,-0.6644631856,-0.2613100487,0.04452978
-0.08697609115,0.3259266047,-0.1558710798,-0.1926356259,0.36340088
0.1516197265,0.0843238438,0.2372475976,0.07651106243,0.21733889
-0.1767612463,0.09272271655,0.1375698234,-0.1538655582,-0.15206367
0.1506453097,0.1340537188,0.2041972568,0.08134236823,1.019984
0.2158905462,0.07439084863,-0.1333147145,-0.3062648301,0.43809187
-0.236687147,-0.0570030089,0.2813606514,-0.4407853275,-0.17760961
-0.4445496704,0.06063271809,-0.1692628581,0.3008631515,0.6966632
-0.6788464835,0.1568046872,0.1594161767,0.3548553924,0.20188946
-0.1166946407,-0.1141750471,0.2652015287,0.1572331359,-0.4482343
-0.1794430019,-0.1959343642,-0.2738491603,0.4365558555,-0.15686505
-0.04937204232,-0.2787365635,0.2730263939,-0.930744187,0.116976134
-0.2524368786,-0.292579716,1.152506863,-0.01082265102,0.11376405
-0.3663258652,0.1198642643,-0.3572223049,-0.2700267676,0.17380023
-0.2834702254,-0.04969606778,0.4051491489,-0.309417487,-0.18528025
-0.7649488245,0.1159107251,0.5878460982,-0.3569503627,0.14818226
-0.2781344091,0.00727223382,0.4656075551,0.4804807975,-0.07360173
-0.4600048487,-0.1448099146,-0.02166008773,-0.07463732647,0.40174216
0.2939988388,0.1996862004,-0.2788372043,0.1959003667,-0.12654218
-0.1108757712,-0.02561408216,-0.1478057912,-0.04160459359,0.4943058
-0.3141291461,0.1154327588,-0.01519233649,0.2305771539,-9.355316
-0.3841528862,-0.2336403823,-0.04155644586,-0.06498808269,0.18121183
